Dates,portfolio_returns,baseline_returns,djia_returns,SXXP Index_returns,MXEU Index_returns
2018-08-01,-0.09942723892974853,0.19784227,0.23292372,0.03099545117951965,0.029063846455150866
2018-08-02,-0.09834120441436768,0.20374338,0.23255092,0.022532529355760028,0.020603211907559697
2018-08-03,-0.0900160913772583,0.20933379,0.23919009,0.029197080291970857,0.027497062279670904
2018-08-06,-0.08971210173797607,0.21361269,0.24111728,0.027874748757008412,0.026165295730513148
2018-08-07,-0.0867084945602417,0.21704015,0.24728489,0.03271448217497092,0.03117900509204849
2018-08-08,-0.08751755002593994,0.21672082,0.24508707,0.030598751719030978,0.029142185663924784
2018-08-09,-0.08873293687438964,0.2149667,0.24146041,0.03155083042420397,0.02961222091656875
2018-08-10,-0.08268228428649903,0.20632356,0.23191729,0.020469692161218685,0.01833137485311401
2018-08-13,-0.08024620946502685,0.20149104,0.22581242,0.01795726224479007,0.015824520172346115
2018-08-14,-0.07758210704803467,0.20916767,0.23127387,0.017983708875489293,0.01590285938112026
2018-08-15,-0.0758861077041626,0.19997539,0.22458167,0.004178567650481286,0.0020368194281237045
2018-08-16,-0.06756390467071534,0.20947848,0.24386944,0.008753834761451397,0.006580493537015303
2018-08-17,-0.06774872714996338,0.21349771,0.24925153,0.007775309425579175,0.005797101449275211
2018-08-20,-0.07374139502716065,0.2164441,0.25360087,0.013514228287316231,0.011515863689776723
2018-08-21,-0.07063368276977539,0.21896037,0.25669608,0.015947318311647023,0.013787700744222411
2018-08-22,-0.07125403812408447,0.21847504,0.2523798,0.0156035121125568,0.013317665491578446
2018-08-23,-0.06043596895599365,0.21641427,0.24865098,0.013910927747804905,0.011437524481002805
2018-08-24,-0.08729369928741455,0.22395463,0.25514168,0.014386967100391404,0.01206423815119461
2018-08-27,-0.06956472101593017,0.23334287,0.2677606,0.01970273987094041,0.01731296513905216
2018-08-28,-0.0826019225692749,0.23367499,0.2684604,0.019411826933248638,0.01699960830395603
2018-08-29,-0.07103558136749268,0.2407087,0.27140722,0.02237384957156453,0.019898159028593747
2018-08-30,-0.03346902602386475,0.23521195,0.2647082,0.01914736062625624,0.01676459067763405
2018-08-31,-0.024387272087097168,0.23537806,0.26363266,0.010948905109489015,0.008068938503721122
2018-09-03,-0.04938353328704834,0.23537806,0.26363266,0.011610070876970238,0.009087348217782973
2018-09-04,-0.04810537847137451,0.23333435,0.2630321,0.00452237384957151,0.002115158636897736
2018-09-05,-0.047049681526184085,0.22987716,0.2641276,-0.006452977890616729,-0.008930669800235021
2018-09-06,-0.04726325508117676,0.22538526,0.26514372,-0.012297683275150685,-0.014806110458284375
2018-09-07,-0.09028553295898438,0.22267306,0.26128295,-0.011504284354173338,-0.013866039952996555
2018-09-10,-0.10324047799682617,0.22499348,0.2583888,-0.006902570612504003,-0.00955738347042694
2018-09-11,-0.1019687060623169,0.22957477,0.26393634,-0.007431503226488952,-0.01018409714061897
2018-09-12,-0.10877408954620361,0.23001333,0.2652922,-0.0027504495927219413,-0.005718762240501402
2018-09-13,-0.11797507906341553,0.23651056,0.27244967,-0.004231460911879887,-0.006580493537015303
2018-09-14,-0.11935370391082764,0.2368512,0.2728721,-0.0007140590288796726,-0.0032902467685076513
2018-09-17,-0.12452718030548096,0.22996229,0.26836792,0.0005024859832857233,-0.002115158636897847
2018-09-18,-0.1365156764450073,0.23656598,0.27736363,0.00161324447265422,-0.0008617312965139007
2018-09-19,-0.14689596954345704,0.23811573,0.2850919,0.0049190733100603345,0.002820211515863574
2018-09-20,-0.15023535241699218,0.24782328,0.2973181,0.011927430445361237,0.010027418723070905
2018-09-21,-0.15140007206726075,0.24736342,0.30152875,0.016317571141436622,0.014962788875832326
2018-09-24,-0.14774618487548827,0.24297808,0.29269814,0.010631545541098016,0.009165687426556893
2018-09-25,-0.11220187144470214,0.24135588,0.28929922,0.015259705913466577,0.013866039952996331
2018-09-26,-0.10624844798278808,0.23727271,0.28409517,0.01830106844388029,0.01692126909518211
2018-09-27,-0.1371458171081543,0.24069165,0.28675485,0.02184491695757958,0.020994907951429744
2018-09-28,-0.1442880559463501,0.24068312,0.2876494,0.013381995133819958,0.012534273403838576
2018-10-01,-0.11888162897491455,0.24520059,0.2970373,0.01539193906696285,0.01441441441441444
2018-10-02,-0.09389779775238037,0.24470663,0.30301014,0.010102612927113067,0.009400705052878877
2018-10-03,-0.08962633081054687,0.24559227,0.30566013,0.015127472759970301,0.014571092831962281
2018-10-04,-0.10130204127502442,0.23541641,0.2958824,0.0041256743890828364,0.0038386212299254263
2018-10-05,-0.0852058832397461,0.22858706,0.28710142,-0.00452237384957151,-0.00470035252643955
2018-10-08,-0.09151907453918456,0.22810163,0.2890349,-0.015629958743256175,-0.015276145710928342
2018-10-09,-0.06906731280517578,0.22636029,0.28629938,-0.013725801332910181,-0.013082647865256574
2018-10-10,-0.05283442451477051,0.18605691,0.2458166,-0.02959377975245953,-0.028515471993732867
2018-10-11,-0.03609713600158691,0.16165616,0.21924873,-0.04884692690151282,-0.04802193497845679
2018-10-12,-0.05092264320373535,0.17815886,0.23322399,-0.050698191050460216,-0.05029377203290248
2018-10-15,-0.04544903019714355,0.17120187,0.22887123,-0.04974611234528722,-0.04864864864864871
2018-10-16,-0.031394249313354494,0.19637755,0.25553444,-0.03472442610811381,-0.03439091265178222
2018-10-17,-0.0749590422668457,0.19607528,0.2510697,-0.038559187559504875,-0.03822953388170787
2018-10-18,-0.06772194999694824,0.17886145,0.23514435,-0.04350470750026444,-0.04324324324324332
2018-10-19,-0.06638879046630859,0.17843568,0.23830238,-0.04464191262033216,-0.04371327849588729
2018-10-22,-0.06626903191375733,0.17336896,0.23212507,-0.048608907225219496,-0.047786917352134806
2018-10-23,-0.054907328117370605,0.16690156,0.22599398,-0.0636305934623929,-0.06196631414022727
2018-10-24,-0.05687294164276123,0.1308858,0.1964039,-0.06571987728763362,-0.06447316882099494
2018-10-25,-0.053076742546081544,0.15194859,0.21592578,-0.06095948376176878,-0.05969447708578147
2018-10-26,-0.0286265107421875,0.13198848,0.20150863,-0.06817941394266379,-0.06666666666666671
2018-10-29,-0.03358059038543701,0.12456308,0.18956617,-0.05979583201100183,-0.05867606737171961
2018-10-30,-0.033443934867858884,0.14218137,0.21057677,-0.05974293874960338,-0.058441049745397634
2018-10-31,-0.03312757311248779,0.15457556,0.22231133,-0.04366338728445993,-0.042224833529181355
2018-11-01,-0.022575477432250978,0.16676538,0.23520717,-0.03977573257167042,-0.0386212299255778
2018-11-02,-0.011772676208496093,0.15939529,0.22985816,-0.03713106950174553,-0.03619271445358405
2018-11-05,-0.0034720643310546875,0.16588828,0.23914722,-0.03866497408230193,-0.037132784958871984
2018-11-06,-0.012415980491638183,0.17318591,0.24758174,-0.041177403998730544,-0.040266353309831575
2018-11-07,-0.008607793464660644,0.19806784,0.27411947,-0.031021897810219027,-0.030395613004308732
2018-11-08,-0.0027684550094604493,0.195062,0.2746509,-0.029197080291970857,-0.028593811202506897
2018-11-09,0.0015517969131469726,0.1840686,0.26482406,-0.032740928805670144,-0.03188405797101455
2018-11-12,0.0016826976623535157,0.16074069,0.23552056,-0.04255262879509159,-0.04097140618879752
2018-11-13,0.014147503494262696,0.15902056,0.2306203,-0.03617899079657253,-0.03446925186055625
